,plant_id,name_e,family,genus,species,eatr,medr,care,eat,med,others,name_k
0,0,calendula,Asteraceae|Compositae,Calendula,officinalis,3,10,FullyHardy|MoistSoil|Semi|Fullsun,Colouring|Tea,Antiphlogistic|Antiseptic|Antispasmodic|Aperient|Astringent|Cholagogue|Diaphoretic|Emmenagogue|Homeopathy|Skin|Stimulant|Vulnerary|Warts,Compost|Cosmetic|Dye|Essential|Repellent,금잔화
1,1,German Camomile,Asteraceae|Compositae,Matricaria,recutita,1,10,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Anodyne|Antiinflammatory|Antiseptic|Antispasmodic|Carminative|Cholagogue|Diaphoretic|Homeopathy|Nervine|Stomachic|Tonic|Vasodilator,Dye|Essential|Hair|Repellent|Strewing,캐모마일
2,2,Fenugreek,Fabaceae|Leguminosae,Trigonella,foenum-graecum,4,10,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Coffee|Condiment|Tea,Anticholesterolemic|Antiinflammatory|Antiphlogistic|Antitumor|Appetizer|Cardiotonic|Carminative|Demulcent|Deobstruent|Diuretic|Emollient|Expectorant|Febrifuge|Galactogogue|Hypoglycaemic|Hypotensive|Laxative|Parasiticide|Restorative,Cosmetic|Dye|Essential|Hair|Parasiticide,호로파
3,3,Garlic,Alliaceae,Allium,sativum,5,10,FrostHardy|Welldrainedsoil|MoistSoil|Fullsun,,Anthelmintic|Antiasthmatic|Anticholesterolemic|Antiseptic|Antispasmodic|Cancer|Cholagogue|Diaphoretic|Diuretic|Dysentery|Expectorant|Febrifuge|Hypoglycaemic|Stimulant|Stings|Stomachic|Tonic|Vasodilator,Adhesive|Fungicide|Repellent,마늘
4,4,Aloe Vera,Aloeaceae,Aloe,vera,1,10,FrostHardy|Welldrainedsoil|MoistSoil|Fullsun,,Cancer|Emmenagogue|Emollient|Laxative|Miscellany|Purgative|Skin|Stimulant|Stomachic|Tonic|Vermifuge|Vulnerary,Cosmetic|Miscellany|Pollution,알로에
5,5,Marsh Mallow,Malvaceae,Althaea,officinalis,5,10,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Egg|Oil|Tea,Antidiarrhoeal|Antitussive|Demulcent|Diuretic|Emollient|Laxative|Odontalgic|Urinary,Adhesive|Fibre|Oil|Teeth,마시멜로
6,6,Dang Gui,Apiaceae|Umbelliferae,Angelica,sinensis,0,10,FullyHardy|MoistSoil|Semi|Fullsun,,Alterative|Analgesic|Anticholesterolemic|Antiinflammatory|Antispasmodic|Cholera|Deobstruent|Emollient|Hepatic|Laxative|Malaria|Sedative|Vasodilator,,당귀
7,7,Gotu Kola,Apiaceae|Umbelliferae,Centella,asiatica,2,10,FrostHardy|MoistSoil|WetSoil|Semi|Fullsun,,Adaptogen|Anticonvulsant|Antidiarrhoeal|Antiinflammatory|Antipanic|Antirheumatic|Cardiac|Depurative|Diuretic|Febrifuge|Hypotensive|Leprosy|Malaria|Nervine|Sedative|Skin|Tonic,Cosmetic,병풀
8,8,Chamomile,Asteraceae|Compositae,Chamaemelum,nobile,2,10,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment|Tea,Anodyne|Antianxiety|Antiinflammatory|Antispasmodic|Aromatherapy|Nervine|Stomachic|Tonic|Vasodilator,Companion|Compost|Dye|Essential|Fungicide|Hair|Repellent|Strewing,로만캐모마일
9,9,Cone Flower,Asteraceae|Compositae,Echinacea,pallida,0,10,FullyHardy|MoistSoil|Fullsun,,Adaptogen|Alterative|Antiseptic|Appetizer|Depurative|Diaphoretic|Digestive|Sialagogue|Urinary,,팔리다
10,10,Echinacea,Asteraceae|Compositae,Echinacea,angustifolia,0,10,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,,Adaptogen|Alterative|Antiseptic|Depurative|Diaphoretic|Digestive|Sialagogue|Stings|Urinary,,콘플라워
11,11,Lemon Balm,Lamiaceae|Labiatae,Melissa,officinalis,3,10,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment|Tea,Antianxiety|Antibacterial|Antidepressant|Antiemetic|Antispasmodic|Antiviral|Aromatherapy|Carminative|Diaphoretic|Digestive|Emmenagogue|Febrifuge|Sedative|Tonic,Essential|Repellent,레몬밤
12,12,White Peppermint,Lamiaceae|Labiatae,Mentha,x,3,10,FullyHardy|MoistSoil|Semi|Fullsun,Condiment|Tea,Anodyne|Antiseptic|Antispasmodic|Aromatherapy|Carminative|Cholagogue|Diaphoretic|Refrigerant|Stomachic|Tonic|Vasodilator,Essential|Repellent|Strewing,화이트 페퍼민트
13,13,Black Peppermint,Lamiaceae|Labiatae,Mentha,piperita,4,10,FullyHardy|MoistSoil|Semi|Fullsun,Condiment|Tea,Abortifacient|Anodyne|Antiseptic|Antispasmodic|Aromatherapy|Carminative|Cholagogue|Diaphoretic|Refrigerant|Stomachic|Tonic|Vasodilator,Essential|Repellent|Strewing,블랙 페퍼민트
14,14,Ginseng,Araliaceae,Panax,ginseng,2,10,FullyHardy|MoistSoil|Fullshade|Semi,Tea,Adaptogen|Antianxiety|Anticholesterolemic|Appetizer|Emetic|Expectorant|Hypoglycaemic|Nervine|Tonic,,인삼
15,15,Stinging Nettle,Urticaceae,Urtica,dioica,5,10,FullyHardy|MoistSoil|Semi|Fullsun,Colouring|Drink|Oil,Antiasthmatic|Antidandruff|Antirheumatic|Antiseborrheic|Astringent|Diuretic|Eczema|Galactogogue|Haemostatic|Hypoglycaemic|Stings|Tonic|Urinary,Biomass|Compost|Dye|Fibre|Hair|Oil|Repellent|Waterproofing,쐐기풀
16,16,Feverfew,Asteraceae|Compositae,Tanacetum,parthenium,2,10,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Antiecchymotic|Antiinflammatory|Antirheumatic|Antispasmodic|Aperient|Bitter|Carminative|Emmenagogue|Sedative|Stimulant|Stings|Stomachic|Vasodilator|Vermifuge,Essential|Repellent,화란국화
